HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Product-
,,,Product Description,,
Chapter Heading Subheading,,,,,Specific Rule
,-,Other,harvesting machinery; threshing,,
,,,,,
,machinery,,,,
,,,,,CTSH or
8433.51,-- Combine harvester-threshers,,,,
,,,,,RVC40
,,,,,CTSH or
8433.52,-- Other threshing machinery,,,,
,,,,,RVC40
,,,,,CTSH or
8433.53,-- Root or tuber harvesting machines,,,,
,,,,,RVC40
,,,,,CTSH or
8433.59,-- Other,,,,
,,,,,RVC40
,"- Machines for cleaning, sorting or grading",,,,CTSH or
8433.60,,,,,
,"eggs, fruit or other agricultural produce",,,,RVC40
,,,,,CTH or
8433.90,- Parts,,,,
,,,,,RVC40
84.34,Milking machines and dairy machinery,,,,
,,,,,CTSH or
8434.10,- Milking machines,,,,
,,,,,RVC40
,,,,,CTSH or
8434.20,- Dairy machinery,,,,
,,,,,RVC40
,,,,,CTH or
8434.90,- Parts,,,,
,,,,,RVC40
,"Presses,",,crushers and similar machinery,,
84.35,"used in the manufacture of wine, cider, fruit",,,,
,juices or similar beverages,,,,
,,,,,CTSH or
8435.10,- Machinery,,,,
,,,,,RVC40
,,,,,CTH or
8435.90,- Parts,,,,
,,,,,RVC40
,Other,"agricultural,","horticultural, forestry,",,
,"poultry-keeping or bee-keeping machinery,",,,,
84.36,including,,germination plant fitted with,,
,mechanical,,or thermal equipment; poultry,,
,incubators and brooders,,,,
,-,Machinery,for preparing animal feeding,,CTSH or
8436.10,,,,,
,stuffs,,,,RVC40
,-,Poultry-keeping,machinery; poultry,,
,,,,,
,incubators and brooders,,,,
,,,,,CTSH or
8436.21,-- Poultry incubators and brooders,,,,
,,,,,RVC40
,,,,,CTSH or
8436.29,-- Other,,,,
,,,,,RVC40
,,,,,CTSH or
8436.80,- Other machinery,,,,
,,,,,RVC40
,- Parts,,,,
