HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
,,,CTSH or
8474.80,- Other machinery,,
,,,RVC40
,,,CTH or
8474.90,- Parts,,
,,,RVC40
,Machines for assembling electric or,,
,"electronic lamps, tubes or valves or flash",,
84.75,"bulbs, in glass envelopes; machines for",,
,manufacturing or hot working glass or,,
,glassware,,
,- Machines for assembling electric or,,
,,,CTSH or
8475.10,"electronic lamps, tubes or valves or flash",,
,,,RVC40
,"bulbs, in glass envelopes",,
,- Machines for manufacturing or hot working,,
,,,
,glass or glassware,,
,-- Machines for making optical fibres and,,CTSH or
8475.21,,,
,preforms thereof,,RVC40
,,,CTSH or
8475.29,-- Other,,
,,,RVC40
,,,CTH or
8475.90,- Parts,,
,,,RVC40
,Automatic goods-vending machines (for,,
,"example, postage stamp, cigarette, food or",,
84.76,,,
,"beverage machines), including money-",,
,changing machines,,
,- Automatic beverage-vending machines,,
,-- Incorporating heating or refrigerating,,CTSH or
8476.21,,,
,devices,,RVC40
,,,CTSH or
8476.29,-- Other,,
,,,RVC40
,- Other machines,,
,-- Incorporating heating or refrigerating,,CTSH or
8476.81,,,
,devices,,RVC40
,,,CTSH or
8476.89,-- Other,,
,,,RVC40
,,,CTH or
8476.90,- Parts,,
,,,RVC40
,Machinery for working rubber or plastics or,,
,for the manufacture of products from these,,
84.77,,,
,"materials, not specified or included",,
,elsewhere in this Chapter,,
,,,CTSH or
8477.10,- Injection-moulding machines,,
,,,RVC40
,,,CTSH or
8477.20,- Extruders,,
,,,RVC40
