HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Product-
,Product Description,,
Chapter Heading Subheading,,,Specific Rule
0304.92,-- Toothfish (Dissostichus spp.),,CC
,"-- Tilapias (Oreochromis spp.), catfish",,
,"(Pangasius spp., Silurus spp., Clarias spp.,",,
,"Ictalurus spp.), carp (Cyprinus carpio,",,
,"Carassius carassius, Ctenopharyngodon",,
0304.93,,,CC
,"idellus, Hypophthalmichthys spp., Cirrhinus",,
,"spp., Mylopharyngodon piceus), eels",,
,"(Anguilla spp.), Nile perch (Lates niloticus)",,
,and snakeheads (Channa spp.),,
0304.94,-- Alaska Pollack (Theragra chalcogramma),,CC
,"-- Fish of the families Bregmacerotidae,",,
,"Euclichthyidae, Gadidae, Macrouridae,",,
0304.95,"Melanonidae, Merlucciidae, Moridae and",,CC
,"Muraenolepididae, other than Alaska Pollack",,
,(Theragra chalcogramma),,
0304.99,-- Other,,CC
,"Fish, dried, salted or in brine; smoked fish,",,
,whether or not cooked before or during the,,
03.05,,,
,"smoking process; flours, meals and pellets of",,
,"fish, fit for human consumption",,
,"- Flours, meals and pellets of fish, fit for",,
0305.10,,,CTH
,human consumption,,
,"- Livers and roes of fish, dried, smoked,",,CC or
0305.20,,,
,salted or in brine,,RVC40
,"- Fish fillets, dried, salted or in brine, but not",,
,,,
,smoked,,
,"-- Tilapias (Oreochromis spp.), catfish",,
,"(Pangasius spp., Silurus spp., Clarias spp.,",,
,"Ictalurus spp.), carp (Cyprinus carpio,",,
,"Carassius carassius, Ctenopharyngodon",,
0305.31,,,CC
,"idellus, Hypophthalmichthys spp., Cirrhinus",,
,"spp., Mylopharyngodon piceus), eels",,
,"(Anguilla spp.), Nile perch (Lates niloticus)",,
,and snakeheads (Channa spp.),,
,"-- Fish of the families Bregmacerotidae,",,
,"Euclichthyidae, Gadidae, Macrouridae,",,CC or
0305.32,,,
,"Melanonidae, Merlucciidae, Moridae and",,RVC40
,Muraenolepididae,,
0305.39,-- Other,,CC
,"- Smoked fish, including fillets, other than",,
,,,
,edible fish offal,,
,"-- Pacific salmon (Oncorhynchus nerka,",,
,,,CC or
0305.41,"Oncorhynchus gorbuscha, Oncorhynchus",,
,,,RVC40
,"keta, Oncorhynchus tschawytscha,",,
