HS Code (HS 2012),Unnamed: 0,Unnamed: 1,Unnamed: 2,Product-
,,Product Description,,
Chapter Heading Subheading,,,,Specific Rule
,petroleum,oils or of oils obtained from,,
,bituminous minerals,,,
,,,,CTH or
34.04,Artificial waxes and prepared waxes,,,
,,,,RVC40
,"Polishes and creams, for footwear, furniture,",,,
,"floors, coachwork, glass or metal, scouring",,,
,pastes and powders and similar preparations,,,
,(whether or,"not in the form of paper,",,CTH or
34.05,,,,
,"wadding, felt, nonwovens, cellular plastics or",,,RVC40
,"cellular rubber,","impregnated, coated or",,
,"covered with such preparations), excluding",,,
,waxes of heading 34.04,,,
,,,,CTH or
34.06 3406.00,"Candles, tapers and the like",,,
,,,,RVC40
,"Modelling pastes, including those put up for",,,
,children’s amusement; preparations known,,,
,as “dental,wax” or as “dental impression,,
,"compounds”, put up in sets, in packings for",,,CTH or
34.07 3407.00,,,,
,"retail sale or in plates, horseshoe shapes,",,,RVC40
,sticks or similar forms; other preparations for,,,
,"use in dentistry, with a basis of plaster (of",,,
,calcined gypsum or calcium sulphate),,,
,CHAPTER,35: ALBUMINOIDAL,,
35,SUBSTANCES;,MODIFIED STARCHES;,,
,GLUES; ENZYMES,,,
,"Casein, caseinates",and other casein,,CTSH or
35.01,,,,
,derivatives; casein glues,,,RVC40
,Albumins (including concentrates of two or,,,
,"more whey proteins, containing by weight",,,
35.02,"more than 80 % whey proteins, calculated on",,,CTSH or
,"the dry matter),",albuminates and other,,RVC40
,albumin derivatives,,,
,Gelatin (including,gelatin in rectangular,,
,(including,"square) sheets, whether or not",,
,surface-worked,or coloured) and gelatin,,CTH or
35.03 3503.00,,,,
,derivatives; isinglass; other glues of animal,,,RVC40
,"origin, excluding",casein glues of heading,,
,35.01,,,
,Peptones and their derivatives; other protein,,,
,substances,"and their derivatives, not",,CTH or
35.04 3504.00,,,,
,elsewhere,specified or included; hide,,RVC40
,"powder, whether or not chromed",,,
,Dextrins and,other modified starches (for,,
35.05,,,,
,"example,",pregelatinised or esterified,,
