HS Code (HS 2012),Product-,Unnamed: 0
Product Description,,
Chapter Heading Subheading,Specific Rule,
weight of petroleum oils or oils obtained from,,
bituminous minerals,,
SECTION VII,,
PLASTICS AND ARTICLES THEREOF; RUBBER AND ARTICLES,,
THEREOF,,
CHAPTER 39: PLASTICS AND ARTICLES,,
39,,
THEREOF,,
,CTH,or
"39.01 Polymers of ethylene, in primary forms",,
,RVC40,
"Polymers of propylene or of other olefins, in",CTH,or
39.02,,
primary forms,RVC40,
,CTH,or
"39.03 Polymers of styrene, in primary forms",,
,RVC40,
Polymers of vinyl chloride or of other,CTH,or
39.04,,
"halogenated olefins, in primary forms",RVC40,
Polymers of vinyl acetate or of other vinyl,,
,CTH,or
"39.05 esters, in primary forms; other vinyl polymers",,
,RVC40,
in primary forms,,
,CTH,or
39.06 Acrylic polymers in primary forms,,
,RVC40,
"Polyacetals, other polyethers and epoxide",,
"resins, in primary forms; polycarbonates,",CTH,or
39.07,,
"alkyd resins, polyallyl esters and other",RVC40,
"polyesters, in primary forms",,
,CTH,or
39.08 Polyamides in primary forms,,
,RVC40,
"Amino-resins, phenolic resins and",CTH,or
39.09,,
"polyurethanes, in primary forms",RVC40,
,CTH,or
39.10 3910.00 Silicones in primary forms,,
,RVC40,
"Petroleum resins, coumarone-indene resins,",,
"polyterpenes, polysulphides, polysulphones",,
,CTH,or
39.11 and other products specified in Note 3 to this,,
,RVC40,
"Chapter, not elsewhere specified or",,
"included, in primary forms",,
"Cellulose and its chemical derivatives, not",,
,CTH,or
"39.12 elsewhere specified or included, in primary",,
,RVC40,
forms,,
"Natural polymers (for example, alginic acid)",,
"and modified natural polymers (for example,",,
,CTH,or
"39.13 hardened proteins, chemical derivatives of",,
,RVC40,
"natural rubber), not elsewhere specified or",,
"included, in primary forms",,
